time,power
1068,12.653108
1069,13.048165
1070,13.650168
1071,13.523396
1072,13.593662
1073,14.261834
1074,14.634876
1075,15.000059
1076,15.753818
1077,16.500574
1078,17.141134
1079,17.508734
1080,17.351904
1081,16.863066
1082,16.724888
1083,16.804205
1084,16.63062
1085,16.432417
1086,16.11313
1087,15.607017
1088,15.515958
1089,15.613316
1090,16.008862
1091,16.123617
1092,15.867473
1093,15.738651
1094,15.399428
1095,15.1823
1096,15.202297
1097,15.621785
1098,15.853102
1099,15.78944
1100,15.592309
1101,15.460857
1102,15.310388
1103,15.287455
1104,15.1627
1105,14.516451
1106,13.538317
1107,12.2738285
1108,12.037467
1109,11.843057
1110,11.498513
1111,12.103819
1112,12.714293
1113,12.655432
1114,12.393935
1115,12.917447
1116,13.349503
1117,13.081738
1118,12.96741
1119,13.949305
1120,15.148175
1121,15.917344
1122,15.853866
1123,14.853717
1124,14.208172
1125,14.268744
1126,14.567331
1127,15.320814
1128,15.653188
1129,15.331027
1130,14.9207115
1131,14.4416895
1132,13.779816
1133,13.691631
1134,14.377447
1135,15.186611
1136,15.560631
1137,15.432115
1138,15.0873575
1139,14.522383
1140,13.9538
1141,14.249664
1142,14.519784
1143,15.2067
1144,15.743452
1145,15.573962
1146,15.178538
1147,14.356532
1148,12.810763
1149,12.25854
1150,12.171548
1151,12.683654
1152,13.376349
1153,13.77263
1154,14.642735
1155,15.13307
1156,15.192971
1157,15.375761
1158,15.221836
1159,14.828002
1160,14.940281
1161,14.79293
1162,14.918938
1163,15.617841
1164,16.219723
1165,16.17884
1166,15.938779
1167,15.36246
1168,15.303599
1169,15.265316
1170,15.139277
1171,15.393221
1172,15.672054
1173,15.657713
1174,15.615088
1175,15.376526
1176,15.393435
1177,15.3881445
1178,15.6714735
1179,15.812984
1180,15.747764
1181,15.551244
1182,15.413769
1183,15.261678
1184,15.237369
1185,15.567572
1186,16.096832
1187,15.461347
1188,13.946675
1189,12.561957
1190,11.6927395
1191,11.4220705
1192,11.259706
1193,12.0269785
1194,13.113723
1195,13.805317
1196,13.45053
1197,13.170076
1198,13.031928
1199,13.159068
1200,13.255601
1201,13.930561
1202,15.1643505
1203,16.839827
1204,16.864258
1205,16.793411
1206,16.553625
1207,16.313839
1208,16.20208
1209,16.604841
1210,17.007023
1211,17.203176
1212,16.847809
1213,16.391413
1214,15.97064
1215,15.955933
1216,16.018616
1217,16.338545
1218,16.235653
1219,16.022224
1220,16.07555
1221,16.129091
1222,15.77938
1223,15.889183
1224,16.35845
1225,16.356892
1226,16.254
1227,15.902943
1228,15.661413
1229,15.602277
1230,15.279382
1231,14.498013
1232,14.038254
1233,12.950073
1234,12.461511
1235,12.312967
1236,11.998083
1237,12.575595
1238,13.971626
1239,14.270274
1240,13.902002
1241,13.711414
1242,13.758748
1243,13.743276
1244,13.644267
1245,14.594851
1246,15.680891
1247,16.687523
1248,17.408165
1249,16.686544
1250,15.698412
1251,14.741865
1252,14.127081
1253,14.495138
1254,14.77865
1255,15.201624
1256,15.546657
1257,15.353043
1258,14.975139
1259,14.445695
1260,14.541004
1261,14.585218
1262,14.604299
1263,15.058584
1264,15.046536
1265,14.511681
1266,14.426187
1267,14.611148
1268,14.937865
1269,15.411903
1270,15.618819
1271,15.350473
1272,14.974956
1273,14.273332
1274,12.990404
1275,12.408643
1276,12.351739
1277,13.018903
1278,13.767768
1279,13.922122
1280,14.087851
1281,14.670896
1282,14.81675
1283,15.063874
1284,15.096622
1285,15.128881
1286,15.154535
1287,15.252137
1288,15.51079
1289,16.076284
1290,16.335274
1291,16.755648
1292,16.555765
1293,16.100685
1294,15.618697
1295,15.478622
1296,15.336011
1297,15.131663
1298,14.948843
1299,15.189332
1300,15.2830515
1301,15.336561
1302,15.718532
1303,15.585154
1304,15.737184
1305,15.939818
1306,15.516417
1307,15.209421
1308,14.958933
1309,15.077175
1310,15.240121
1311,15.473486
1312,16.118511
1313,15.569345
1314,13.988382
1315,12.548044
1316,11.688184
1317,11.425128
1318,11.278327
1319,12.037987
1320,12.684297
1321,13.483798
1322,13.314156
1323,12.93561
1324,13.240373
1325,13.281866
1326,13.722423
1327,14.52385
1328,15.482506
1329,16.161015
1330,16.491522
1331,16.667036
1332,15.967583
1333,15.984125
1334,16.177862
1335,16.36267
1336,16.385695
1337,16.383524
1338,16.589186
1339,16.340105
1340,16.373983
1341,16.70963
1342,16.9496
1343,16.850101
1344,16.50354
1345,15.839189
1346,15.373345
1347,15.491588
1348,15.852521
1349,16.146704
1350,16.645449
1351,16.73923
1352,16.194923
1353,15.772286
1354,15.772745
1355,15.68028
1356,16.032375
1357,15.940369
1358,15.092127
1359,13.928726
1360,12.438303
1361,11.845931
1362,11.563245
1363,11.744476
1364,12.250865
1365,13.048685
1366,12.821374
1367,13.2880125
1368,13.65717
1369,13.624545
1370,14.0553465
1371,14.822467
1372,15.442878
1373,16.152727
1374,16.008036
1375,15.85093
1376,15.605701
1377,15.499783
1378,15.244065
1379,15.416245
1380,15.271004
1381,14.940098
1382,14.095739
1383,13.705911
1384,14.187685
1385,14.477404
1386,14.753302
1387,15.056291
1388,14.677684
1389,14.547395
1390,14.783389
1391,14.848947
1392,15.161171
1393,15.933856
1394,16.05427
1395,15.713181
1396,15.155361
1397,14.6208105
1398,14.078891
1399,13.356291
1400,13.211233
1401,13.319568
1402,13.416345
1403,13.697991
1404,13.575285
1405,14.029509
1406,14.822008
1407,15.09968
1408,15.255196
1409,15.190219
1410,14.800421
1411,14.815312
1412,14.84965
1413,15.389674
1414,16.081543
1415,16.443607
1416,16.617256
1417,16.277666
1418,15.579864
1419,14.680742
1420,14.273301
1421,14.5281925
1422,14.979542
1423,15.180617
1424,15.190433
1425,14.905851
1426,14.578492
1427,14.074977
1428,14.332773
1429,14.5114355
1430,15.2067
1431,16.11481
1432,16.114536
1433,15.616312
1434,15.186825
1435,14.7384405
1436,14.884814
1437,15.130624
1438,15.722323
1439,16.178411
1440,16.012318
1441,15.76669
1442,14.716792
1443,13.07171
1444,12.284316
1445,12.145588
1446,12.547922
1447,13.339902
1448,13.611458
1449,14.539628
1450,15.369034
1451,15.209758
1452,15.477461
1453,15.638602
1454,15.483118
1455,15.478561
1456,15.630867
1457,16.252806
1458,16.750206
1459,17.1833
1460,17.756683
1461,17.26066
1462,16.583437
1463,16.38802
1464,16.452475
1465,16.155571
1466,16.248953
1467,16.67526
1468,16.921347
1469,16.830288
1470,16.48241
1471,16.138203
1472,16.187372
1473,16.090626
1474,16.434649
1475,16.764454
1476,16.681437
1477,16.949966
1478,17.17639
1479,16.935045
1480,16.71709
1481,16.975193
1482,17.206295
1483,16.61316
1484,15.161843
1485,13.773639
1486,12.416042
1487,11.807801
1488,12.25322
1489,12.811192
1490,13.704412
1491,14.173863
1492,13.624361
1493,13.165643
1494,13.372497
1495,13.600664
1496,13.814643
1497,14.544642
1498,15.635697
1499,16.502377
1500,16.68575
1501,16.480698
1502,15.921014
1503,15.59659
1504,15.497611
1505,15.526598
1506,15.611756
1507,15.76929
1508,15.942999
1509,15.792161
1510,15.817755
1511,16.016659
1512,15.781887
1513,15.623375
1514,15.089589
1515,14.41047
1516,14.184352
1517,14.710034
1518,14.857661
1519,15.058064
1520,15.161996
1521,14.85543
1522,14.176585
1523,13.903011
1524,14.256972
1525,14.661019
1526,14.494771
1527,13.620417
1528,12.338743
1529,11.713287
1530,11.44326
1531,11.128682
1532,11.008483
1533,11.289427
1534,12.551194
1535,12.742851
1536,12.229767
1537,13.055962
1538,13.789142
1539,13.774067
1540,13.707592
1541,14.836563
1542,16.055737
1543,16.886274
1544,16.81772
1545,16.14435
1546,15.168081
1547,15.077358
1548,15.090537
1549,15.282745
1550,15.4954405
1551,15.359708
1552,15.042042
1553,14.518347
1554,14.610873
1555,14.833873
1556,15.323199
1557,15.744094
1558,15.632396
1559,15.283082
1560,15.103349
1561,15.022442
1562,15.176062
1563,15.459481
1564,15.884198
1565,15.958073
1566,15.276233
1567,13.834518
1568,12.31734
1569,11.572846
1570,11.40932
1571,11.417728
1572,12.240805
1573,13.241749
1574,14.114942
1575,14.58635
1576,14.885884
1577,15.188445
1578,15.781857
1579,15.8546
1580,15.325461
1581,15.380379
1582,16.04687
1583,16.454004
1584,17.077963
1585,17.16477
1586,17.265522
1587,16.830868
1588,16.426638
1589,15.96003
1590,15.864109
1591,15.98914
1592,16.509195
1593,16.79014
1594,16.566711
1595,16.513783
1596,16.65083
1597,16.593344
1598,16.661013
1599,17.033014
1600,17.363277
1601,17.364378
1602,17.078024
1603,16.432478
1604,15.984156
1605,16.014793
1606,16.172052
1607,16.475653
1608,16.716661
1609,15.891293
1610,14.243091
1611,12.494198
1612,11.4313965
1613,11.229832
1614,11.0555725
1615,11.9937105
1616,12.544804
1617,13.320057
1618,13.61687
1619,13.758503
1620,14.394692
1621,14.701717
1622,15.141663
1623,15.560172
1624,16.071484
1625,16.826283
1626,16.794085
1627,15.865026
1628,15.330232
1629,15.420465
1630,15.560906
1631,15.55953
1632,15.464832
1633,15.238439
1634,14.712909
1635,14.167535
1636,14.452238
1637,14.707191
1638,15.10873
1639,15.490701
1640,15.467676
1641,15.02449
1642,14.692606
1643,14.812927
1644,14.995106
1645,15.134507
1646,15.400345
1647,15.428201
1648,15.026234
1649,14.388638
1650,14.061432
1651,14.478352
1652,14.652519
1653,14.911905
1654,14.431446
1655,12.717473
1656,11.713929
1657,11.504017
1658,11.255609
1659,11.237353
1660,11.775542
1661,12.480255
1662,12.909161
1663,13.016885
1664,12.944814
1665,13.646041
1666,13.739759
1667,14.112037
1668,14.738013
1669,15.719908
1670,16.500483
1671,16.77109
1672,16.204708
1673,15.97064
1674,15.6006565
1675,15.474617
1676,15.458472
1677,15.465108
1678,15.057819
1679,14.725231
1680,14.856194
1681,15.030056
1682,15.417041
1683,15.806472
1684,15.682298
1685,15.329773
1686,15.149032
1687,15.074514
1688,15.221805
1689,15.496297
1690,15.911106
1691,15.959144
1692,15.716849
1693,15.542866
1694,15.405268
1695,15.383711
1696,15.2548895
1697,14.740429
1698,14.074672
1699,12.695854
1700,11.859447
1701,11.641798
1702,11.44057
1703,11.730839
1704,12.696466
1705,13.687167
1706,13.26245
1707,13.384544
1708,13.644511
1709,13.839166
1710,13.902583
1711,14.883897
1712,16.107626
1713,16.945656
1714,17.185503
1715,16.994394
1716,15.902912
1717,15.092066
1718,15.141937
1719,15.536475
1720,15.9452305
1721,16.48244
1722,16.46064
1723,15.906367
1724,15.535832
1725,15.602246
1726,15.672666
1727,15.954128
1728,15.895818
1729,14.951931
1730,13.860815
1731,12.615406
1732,11.76903
1733,11.362812
1734,11.164855
1735,11.7958765
1736,12.055721
1737,11.879688
1738,12.80107
1739,13.258444
1740,12.794252
1741,13.207441
1742,15.691409
1743,29.911848
1744,63.987335
1745,87.85582
1746,94.05161
1747,84.644424
1748,74.702095
1749,64.6242
1750,67.85938
1751,64.18128
1752,66.20907
1753,74.76307
1754,85.6195
1755,92.21423
1756,94.494835
1757,98.099266
1758,97.39871
1759,91.21469
1760,72.42367
1761,60.11443
1762,52.94524
1763,51.036797
1764,51.754566
1765,54.92273
1766,52.059113
1767,53.811005
1768,52.882374
1769,54.392887
1770,53.714073
1771,53.11534
1772,50.414307
1773,46.450096
1774,43.555904
1775,39.926914
1776,38.087543
1777,34.125107
1778,36.098495
1779,37.232452
1780,45.063297
1781,52.155525
1782,45.964348
1783,38.172302
1784,32.85429
1785,36.00022
1786,35.858162
1787,44.88788
1788,54.26648
1789,47.003635
1790,35.633175
1791,34.14501
1792,29.71808
1793,28.575045
1794,37.37387
1795,41.466045
1796,58.422684
1797,74.68219
1798,80.42018
1799,82.076675
1800,80.35328
1801,66.019005
1802,53.225113
1803,43.245148
1804,39.065277
1805,35.452923
1806,33.412445
1807,31.346958
1808,34.653053
1809,38.947037
1810,45.268993
1811,47.934742
1812,45.50945
1813,42.121162
1814,42.797684
1815,41.66697
1816,36.745083
1817,33.745552
1818,35.118286
1819,33.68015
1820,32.738216
1821,31.421322
1822,32.95941
1823,32.46828
1824,40.320625
1825,54.514034
1826,65.76625
1827,74.28848
1828,75.96506
1829,73.89018
1830,69.54382
1831,71.93428
1832,75.404
1833,76.90399
1834,75.98402
1835,82.47192
1836,85.75743
1837,87.46015
1838,85.23582
1839,86.51223
1840,85.74954
1841,86.46612
1842,89.05078
1843,84.77456
1844,76.98539
1845,58.423695
1846,45.515045
1847,36.56544
1848,35.292053
1849,36.367393
1850,35.991417
1851,37.387844
1852,41.286926
1853,45.267128
1854,42.59315
1855,43.410603
1856,43.7331
1857,44.57758
1858,44.898945
1859,51.30239
1860,50.791416
1861,45.25826
1862,45.86286
1863,42.28677
1864,46.838764
1865,53.095406
1866,61.699886
1867,71.35738
1868,76.789604
1869,69.07838
1870,67.5855
1871,63.011646
1872,64.06837
1873,68.61993
1874,76.02792
1875,83.35975
1876,85.27132
1877,87.98263
1878,91.85685
1879,94.94563
1880,93.23221
1881,85.52444
1882,66.69562
1883,50.53206
1884,43.348835
1885,37.77055
1886,37.268227
1887,41.00895
1888,46.83824
1889,56.687122
1890,55.21104
1891,48.150524
1892,42.800922
1893,38.678112
1894,37.574337
1895,40.51852
1896,45.084
1897,51.43289
1898,53.194077
1899,51.31092
1900,54.70566
1901,52.194416
1902,51.81211
1903,47.112
1904,41.248306
1905,42.210693
1906,42.836117
1907,49.694214
1908,53.06547
1909,59.31144
1910,60.11669
1911,49.860645
1912,38.62414
1913,34.10092
1914,31.175665
1915,29.615402
1916,38.02235
1917,45.542168
1918,61.6572
1919,73.34413
1920,73.61315
1921,65.59814
1922,56.280907
1923,54.362064
1924,45.92313
1925,44.569386
1926,53.19787
1927,49.158897
1928,42.016773
1929,38.167625
1930,32.541363
1931,31.06473
1932,35.08948
1933,38.483334
1934,44.789696
1935,48.082916
1936,47.777695
1937,50.575172
1938,47.40068
1939,38.176643
1940,31.65594
1941,31.185877
1942,32.098083
1943,31.251986
1944,34.740562
1945,34.693047
1946,37.684048
1947,51.475212
1948,60.708084
1949,65.05741
1950,70.076324
1951,72.27011
1952,54.723183
1953,48.401867
1954,43.050648
1955,39.600838
1956,40.69969
1957,54.18698
1958,67.26854
1959,78.6206
1960,86.81564
1961,90.19904
1962,81.6341
1963,66.86165
1964,54.67221
1965,49.925774
1966,44.86375
1967,44.80278
1968,45.23074
1969,48.167526
1970,47.488956
1971,47.299835
1972,47.54745
1973,49.02977
1974,51.98631
1975,52.129807
1976,52.129196
1977,52.226097
1978,48.06711
1979,46.451107
1980,45.636314
1981,46.49532
1982,46.115032
1983,47.49345
1984,46.589466
1985,42.258606
1986,39.83497
1987,43.56795
1988,41.328266
1989,47.158264
1990,53.649403
1991,55.84463
1992,40.378693
1993,34.407547
1994,27.652897
1995,22.926704
1996,27.495028
1997,42.190697
1998,62.27981
1999,84.46686
2000,90.530106
2001,85.820206
2002,81.1345
2003,81.303375
2004,72.545334
